Linux 6.14.0-1018-aws (ip-10-0-1-248) 	01/05/26 	_aarch64_	(8 CPU)

10:14:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:14:15     all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:14:15       0    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
10:14:15       1    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:14:15       2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:14:15       3    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
10:14:15       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:14:15       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:14:15       6    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:14:15       7    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01

10:14:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:14:16     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:14:16       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:14:16       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:14:16       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:14:16       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:14:16       4    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
10:14:16       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:14:16       6    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
10:14:16       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:14:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:14:17     all   52.33    0.00   34.30    1.01    0.00    0.13    0.00    0.00    0.00   12.23
10:14:17       0   50.50    0.00   33.66    0.99    0.00    0.99    0.00    0.00    0.00   13.86
10:14:17       1   50.51    0.00   35.35    1.01    0.00    0.00    0.00    0.00    0.00   13.13
10:14:17       2   53.54    0.00   36.36    1.01    0.00    0.00    0.00    0.00    0.00    9.09
10:14:17       3   52.48    0.00   34.65    0.99    0.00    0.00    0.00    0.00    0.00   11.88
10:14:17       4   52.48    0.00   34.65    1.98    0.00    0.00    0.00    0.00    0.00   10.89
10:14:17       5   50.51    0.00   35.35    1.01    0.00    0.00    0.00    0.00    0.00   13.13
10:14:17       6   55.21    0.00   32.29    0.00    0.00    0.00    0.00    0.00    0.00   12.50
10:14:17       7   53.61    0.00   31.96    1.03    0.00    0.00    0.00    0.00    0.00   13.40

10:14:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:14:18     all   57.05    0.00   34.43    1.02    0.00    0.00    0.00    0.00    0.00    7.50
10:14:18       0   57.73    0.00   34.02    1.03    0.00    0.00    0.00    0.00    0.00    7.22
10:14:18       1   58.16    0.00   33.67    1.02    0.00    0.00    0.00    0.00    0.00    7.14
10:14:18       2   59.18    0.00   32.65    1.02    0.00    0.00    0.00    0.00    0.00    7.14
10:14:18       3   53.61    0.00   38.14    1.03    0.00    0.00    0.00    0.00    0.00    7.22
10:14:18       4   57.14    0.00   33.67    1.02    0.00    0.00    0.00    0.00    0.00    8.16
