Time,HitRatio,TPS,Active,WaitLock,Deadlock,WalBytes
14:45:46,99.85,6,1,0,0,17834916981
14:45:51,99.97,18,12,0,0,17901489993
14:45:56,99.98,28,3,0,0,17983755501
14:46:01,99.99,40,15,0,0,18038347695
14:46:07,99.99,52,11,0,0,18080423232
14:46:12,99.99,62,13,0,0,18118950768
14:46:17,100.00,74,14,0,0,18155038440
14:46:22,100.00,84,23,0,0,18188673793
14:46:27,100.00,96,10,0,0,18220129393
14:46:32,100.00,108,2,0,0,18249420348
14:46:37,100.00,118,6,0,0,18276674481
14:46:42,100.00,130,12,0,0,18302279654
