Linux 6.14.0-1018-aws (ip-10-0-1-227) 	01/03/26 	_aarch64_	(8 CPU)

13:05:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:05:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:08       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:08       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:08       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:08       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:08       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:08       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:08       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:08       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

13:05:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:05:09     all    0.00    0.00    1.12    0.00    0.00    0.00    0.00    0.00    0.00   98.88
13:05:09       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:09       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:09       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:09       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:09       4    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   97.03
13:05:09       5    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
13:05:09       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:09       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

13:05:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:05:10     all    3.79    0.00    5.05   10.98    0.00    0.13    0.00    0.00    0.00   80.05
13:05:10       0   25.25    0.00   25.25    8.08    0.00    0.00    0.00    0.00    0.00   41.41
13:05:10       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:10       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:10       3    0.00    0.00    2.00   12.00    0.00    1.00    0.00    0.00    0.00   85.00
13:05:10       4    0.00    0.00    3.09   31.96    0.00    0.00    0.00    0.00    0.00   64.95
13:05:10       5    0.00    0.00    2.00   11.00    0.00    0.00    0.00    0.00    0.00   87.00
13:05:10       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:10       7    5.15    0.00    8.25   25.77    0.00    0.00    0.00    0.00    0.00   60.82

13:05:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:05:11     all    0.88    0.00    3.16   21.09    0.00    0.00    0.00    0.00    0.00   74.87
13:05:11       0    6.19    0.00   12.37   57.73    0.00    0.00    0.00    0.00    0.00   23.71
13:05:11       1    0.00    0.00    2.02   35.35    0.00    0.00    0.00    0.00    0.00   62.63
13:05:11       2    0.00    0.00    2.02   29.29    0.00    0.00    0.00    0.00    0.00   68.69
13:05:11       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:11       4    0.00    0.00    3.00   14.00    0.00    0.00    0.00    0.00    0.00   83.00
13:05:11       5    1.02    0.00    5.10   33.67    0.00    0.00    0.00    0.00    0.00   60.20
13:05:11       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:11       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

13:05:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:05:12     all    0.63    0.00    2.01   22.33    0.00    0.13    0.00    0.00    0.00   74.91
13:05:12       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:12       1    0.00    0.00    3.03   47.47    0.00    1.01    0.00    0.00    0.00   48.48
13:05:12       2    0.00    0.00    4.00   46.00    0.00    0.00    0.00    0.00    0.00   50.00
13:05:12       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:12       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:12       5    5.05    0.00    9.09   85.86    0.00    0.00    0.00    0.00    0.00    0.00
13:05:12       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:12       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

13:05:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:05:13     all    0.50    0.00    1.76   22.84    0.00    0.00    0.00    0.00    0.00   74.91
13:05:13       0    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
13:05:13       1    0.00    0.00    3.03   41.41    0.00    0.00    0.00    0.00    0.00   55.56
13:05:13       2    0.00    0.00    4.04   51.52    0.00    0.00    0.00    0.00    0.00   44.44
13:05:13       3    0.99    0.00    0.99    4.95    0.00    0.00    0.00    0.00    0.00   93.07
13:05:13       4    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
13:05:13       5    3.06    0.00    5.10   85.71    0.00    0.00    0.00    0.00    0.00    6.12
13:05:13       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:05:13       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

13:05:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
