Linux 6.14.0-1018-aws (ip-10-0-1-227) 	01/03/26 	_aarch64_	(8 CPU)

12:55:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:55:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:42       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:42       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:42       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:42       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:42       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:42       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:42       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:42       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:55:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:55:43     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:43       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:43       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:43       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:43       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:43       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:43       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:43       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:43       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:55:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:55:44     all    4.14    0.00    5.65   10.54    0.00    0.13    0.00    0.00    0.00   79.55
12:55:44       0   18.18    0.00   36.36   30.30    0.00    0.00    0.00    0.00    0.00   15.15
12:55:44       1    0.00    0.00    3.00   25.00    0.00    1.00    0.00    0.00    0.00   71.00
12:55:44       2   14.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
12:55:44       3    0.00    0.00    4.04   19.19    0.00    0.00    0.00    0.00    0.00   76.77
12:55:44       4    0.00    0.00    2.02   10.10    0.00    0.00    0.00    0.00    0.00   87.88
12:55:44       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:44       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:55:44       7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

12:55:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:55:45     all    0.63    0.00    2.51   21.86    0.00    0.00    0.00    0.00    0.00   75.00
12:55:45       0    1.01    0.00    3.03    7.07    0.00    0.00    0.00    0.00    0.00   88.89
