----system---- ----total-usage---- ---system-- ------tcp-sockets-------
     time     |usr sys idl wai stl| int   csw |lis  act  syn  tim  clo 
03-01 17:06:43|                   |           |  6    3    0    0    0 
03-01 17:06:44|  0   0 100   0   0|1949   572 |  6    3    0    0    0 
03-01 17:06:45|  0   0  99   0   0|2274   644 |  6    3    0    0    0 
03-01 17:06:46| 15  70  10   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:06:47| 16  71  10   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:06:48| 16  71   9   2   0|  18k   20k|  6    3    0    0    0 
03-01 17:06:49| 16  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:06:50| 17  70   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:06:51| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:06:52| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:06:53| 16  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:06:54| 17  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:06:55| 15  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:06:56| 16  72   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:06:57| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:06:58| 16  71  10   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:06:59| 16  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:00| 16  70  10   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:01| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:02| 16  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:03| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:04| 16  72   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:05| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:06| 17  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:07| 17  70   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:08| 16  72   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:09| 16  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:10| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:11| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:12| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:13| 15  72   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:14| 17  70  10   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:15| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:16| 16  70   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:17| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:18| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:19| 15  72   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:20| 17  70   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:21| 15  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:22| 16  70   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:23| 16  71  10   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:24| 16  70   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:25| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:26| 17  71   9   2   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:27| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:28| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:29| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:30| 16  71  10   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:31| 16  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:32| 16  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:33| 16  70   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:34| 16  70  10   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:35| 16  71  10   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:36| 16  71  10   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:37| 16  70   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:38| 16  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:39| 16  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:40| 16  70  10   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:41| 16  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:42| 15  71   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:43| 15  72   9   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:44| 15  71   9   3   0|  18k   20k|  6    3    0    0    0 
03-01 17:07:45| 16  70  10   3   0|  19k   20k|  6    3    0    0    0 
03-01 17:07:46|  0   1  99   0   0|2352   682 |  6    3    0    0    0 
03-01 17:07:47|  0   0 100   0   0|1781   328 |  6    3    0    0    0 
