Linux 6.14.0-1018-aws (ip-10-0-1-227) 	01/03/26 	_aarch64_	(8 CPU)

17:06:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:06:44     all    0.63    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.12
17:06:44       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:44       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:44       2    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
17:06:44       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:44       4    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
17:06:44       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:44       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:44       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:06:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:06:45     all    0.00    0.00    0.13    0.13    0.00    0.00    0.00    0.00    0.00   99.75
17:06:45       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:45       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:45       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:45       3    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
17:06:45       4    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
17:06:45       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:45       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:06:45       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

