----system---- ----total-usage---- ------memory-usage----- -dsk/total- --io/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ| read  writ
03-01 17:05:28|                   |4694M 1074M   25M   14G|           |           
03-01 17:05:29|  0   0  99   0   0|4695M 1072M   25M   14G|   0     0 |   0  8.00 
03-01 17:05:30|  2   2  96   1   0|4775M 1017M   25M   14G|  11M 2802k| 595   171 
03-01 17:05:31| 31  28   0  35   0|4980M  372M   25M   14G| 423M   42M|46.4k 1579 
03-01 17:05:32| 12  11   0  66   0|5027M  406M   25M   14G| 219M   20M|23.9k  767 
03-01 17:05:33| 11  12   0  68   0|5065M  296M   25M   14G| 217M   21M|23.7k  949 
03-01 17:05:34| 13  14   5  61   0|5083M  237M   25M   14G| 171M   54M|18.6k 5582 
03-01 17:05:35|  7   9   7  73   0|5091M  271M   25M   14G|  95M  118M|10.4k 14.4k
03-01 17:05:36|  9  11   7  68   0|5099M  276M   25M   14G| 119M   93M|13.0k 11.0k
03-01 17:05:37|  9  12   7  71   0|5107M  297M   25M   14G| 104M  113M|11.4k 13.5k
03-01 17:05:38|  8  10  15  65   0|5114M  322M   25M   14G| 103M  111M|11.2k 13.2k
03-01 17:05:39|  6   7  22  61   0|5118M  226M   25M   14G|  81M  128M|8827  15.5k
03-01 17:05:40|  6   7  21  64   0|5121M  285M   25M   14G|  76M  132M|8229  16.2k
03-01 17:05:41|  6   7  25  60   0|5127M  192M   25M   14G|  77M  132M|8358  16.0k
03-01 17:05:42|  6   7  19  65   0|5129M  247M   25M   14G|  81M  127M|8833  15.4k
03-01 17:05:43|  5   6  18  66   0|5130M  308M   25M   14G|  76M  132M|8285  16.0k
03-01 17:05:44|  6   7  19  64   0|5135M  205M   25M   14G|  89M  123M|9696  14.8k
03-01 17:05:45|  6   8  19  63   0|5132M  252M   25M   14G|  95M  113M|10.2k 13.5k
03-01 17:05:46|  6   7  21  63   0|5133M  309M   25M   14G|  81M  128M|8773  15.6k
03-01 17:05:47|  7   9  15  66   0|5137M  197M   25M   14G|  96M  118M|10.4k 14.1k
03-01 17:05:48|  7   8  16  66   0|5140M  241M   25M   14G|  91M  113M|10.0k 13.6k
03-01 17:05:49|  7   8  22  61   0|5142M  289M   25M   14G|  90M  124M|9645  15.0k
03-01 17:05:50|  6   6  27  59   0|5140M  210M   25M   14G|  72M  131M|7852  16.1k
03-01 17:05:51|  8   8  16  65   0|5139M  251M   25M   14G|  97M  115M|10.6k 13.8k
03-01 17:05:52|  7   8  18  65   0|5137M  302M   25M   14G|  89M  122M|9674  14.6k
03-01 17:05:53|  6   5  23  63   0|5141M  212M   25M   14G|  75M  134M|8115  16.2k
03-01 17:05:54|  7   7  16  65   0|5141M  251M   25M   14G|  99M  114M|10.8k 13.7k
03-01 17:05:55|  7   7  18  65   0|5142M  300M   25M   14G|  87M  123M|9453  14.9k
03-01 17:05:56|  6   6  19  64   0|5149M  198M   25M   14G|  83M  123M|9027  15.1k
03-01 17:05:57|  8   8  14  68   0|5150M  243M   25M   14G|  91M  117M|9872  14.1k
03-01 17:05:58|  7   8  17  66   0|5146M  301M   25M   14G|  84M  123M|9139  14.6k
03-01 17:05:59|  7   9  15  67   0|5147M  195M   25M   14G|  91M  121M|10.1k 14.4k
03-01 17:06:00|  7   9  20  64   0|5149M  249M   25M   14G|  84M  124M|9034  15.2k
03-01 17:06:01|  8   8  22  61   0|5147M  301M   25M   14G|  87M  127M|9426  15.5k
03-01 17:06:02|  7   8  18  64   0|5142M  201M   25M   14G|  92M  120M|10.1k 14.5k
03-01 17:06:03|  8   8  16  66   0|5140M  246M   25M   14G|  93M  122M|10.2k 14.6k
03-01 17:06:04|  9   9  14  66   0|5139M  276M   25M   14G| 106M  112M|11.5k 13.3k
03-01 17:06:05|  7   7  11  71   0|5139M  321M   25M   14G|  92M  120M|9952  14.4k
03-01 17:06:06|  8   8  13  69   0|5141M  208M   25M   14G|  98M  112M|10.7k 13.4k
03-01 17:06:07|  8   8  14  67   0|5140M  244M   25M   14G| 101M  109M|11.1k 13.2k
03-01 17:06:08|  7   7  15  65   0|5138M  283M   25M   14G|  98M  112M|10.8k 13.5k
03-01 17:06:09|  7   7  14  66   0|5139M  314M   25M   14G| 103M  114M|11.3k 13.8k
03-01 17:06:10|  7   7  12  67   0|5142M  188M   25M   14G| 108M  110M|11.8k 12.9k
03-01 17:06:11|  6   7  15  67   0|5140M  229M   25M   14G|  96M  115M|10.5k 13.8k
03-01 17:06:12|  9   9  12  65   0|5139M  244M   25M   14G| 120M   98M|12.9k 11.7k
03-01 17:06:13|  6   8  13  69   0|5139M  283M   25M   14G|  95M  107M|10.4k 13.1k
