Linux 6.14.0-1018-aws (ip-10-0-1-227) 	01/03/26 	_aarch64_	(8 CPU)

17:05:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:05:29     all    0.63    0.00    0.38    0.63    0.00    0.00    0.00    0.00    0.00   98.37
17:05:29       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:05:29       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:05:29       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:05:29       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:05:29       4    3.06    0.00    1.02    3.06    0.00    0.00    0.00    0.00    0.00   92.86
17:05:29       5    0.00    0.00    0.99    1.98    0.00    0.00    0.00    0.00    0.00   97.03
17:05:29       6    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
17:05:29       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:05:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:05:30     all    0.37    0.00    0.12    0.12    0.00    0.00    0.00    0.00    0.00   99.38
17:05:30       0    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:05:30       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:05:30       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:05:30       3    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
17:05:30       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
17:05:30       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:05:30       6    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
17:05:30       7    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00

17:05:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:05:31     all   31.67    0.00   31.27   31.27    0.00    1.31    0.00    0.00    0.00    4.47
17:05:31       0   30.53    0.00   31.58   31.58    0.00    1.05    0.00    0.00    0.00    5.26
17:05:31       1   31.58    0.00   31.58   31.58    0.00    1.05    0.00    0.00    0.00    4.21
17:05:31       2   31.91    0.00   28.72   31.91    0.00    2.13    0.00    0.00    0.00    5.32
17:05:31       3   31.58    0.00   31.58   30.53    0.00    1.05    0.00    0.00    0.00    5.26
17:05:31       4   30.61    0.00   32.65   30.61    0.00    2.04    0.00    0.00    0.00    4.08
17:05:31       5   31.91    0.00   31.91   30.85    0.00    1.06    0.00    0.00    0.00    4.26
17:05:31       6   32.29    0.00   31.25   31.25    0.00    2.08    0.00    0.00    0.00    3.12
17:05:31       7   32.98    0.00   30.85   31.91    0.00    0.00    0.00    0.00    0.00    4.26

17:05:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:05:32     all   12.78    0.00   12.64   74.16    0.00    0.42    0.00    0.00    0.00    0.00
17:05:32       0   12.22    0.00   13.33   73.33    0.00    1.11    0.00    0.00    0.00    0.00
17:05:32       1   11.36    0.00   13.64   73.86    0.00    1.14    0.00    0.00    0.00    0.00
17:05:32       2   12.36    0.00   12.36   75.28    0.00    0.00    0.00    0.00    0.00    0.00
17:05:32       3   13.64    0.00   11.36   75.00    0.00    0.00    0.00    0.00    0.00    0.00
17:05:32       4   12.64    0.00   12.64   74.71    0.00    0.00    0.00    0.00    0.00    0.00
17:05:32       5   14.13    0.00   11.96   73.91    0.00    0.00    0.00    0.00    0.00    0.00
17:05:32       6   14.44    0.00   12.22   73.33    0.00    0.00    0.00    0.00    0.00    0.00
17:05:32       7   11.36    0.00   13.64   73.86    0.00    1.14    0.00    0.00    0.00    0.00

17:05:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:05:33     all   12.09    0.00   13.46   74.31    0.00    0.14    0.00    0.00    0.00    0.00
17:05:33       0   11.24    0.00   13.48   75.28    0.00    0.00    0.00    0.00    0.00    0.00
17:05:33       1   12.09    0.00   13.19   74.73    0.00    0.00    0.00    0.00    0.00    0.00
17:05:33       2   10.99    0.00   13.19   75.82    0.00    0.00    0.00    0.00    0.00    0.00
17:05:33       3   11.96    0.00   13.04   75.00    0.00    0.00    0.00    0.00    0.00    0.00
17:05:33       4   12.09    0.00   14.29   73.63    0.00    0.00    0.00    0.00    0.00    0.00
17:05:33       5   11.24    0.00   15.73   73.03    0.00    0.00    0.00    0.00    0.00    0.00
17:05:33       6   12.77    0.00   13.83   72.34    0.00    1.06    0.00    0.00    0.00    0.00
17:05:33       7   14.29    0.00   10.99   74.73    0.00    0.00    0.00    0.00    0.00    0.00

17:05:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:05:34     all   13.56    0.00   14.50   66.04    0.00    0.81    0.00    0.00    0.00    5.10
17:05:34       0   12.77    0.00   15.96   67.02    0.00    1.06    0.00    0.00    0.00    3.19
