----system---- ----total-usage---- ------memory-usage----- -dsk/total- --io/total- nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ| read  writ|util:util:util:util:util:util:util:util:util:util:util:util:util:util:util:util:util
03-01 15:07:40|                   |4736M  521M   22M   14G|           |           |    :    :    :    :    :    :    :    :    :    :    :    :    :    :    :    :    
03-01 15:07:41|  0   0 100   0   0|4735M  522M   22M   14G|   0     0 |   0     0 |   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0
03-01 15:07:42|  0   1  98   0   0|4798M  459M   22M   14G|   0   356k|   0  39.0 |0.40:0.10:   0:   0:0.10:   0:0.30:0.30:   0:   0:0.10:   0:   0:0.10:0.10:   0:0.10
03-01 15:07:43| 46  36  13   3   0|4962M  312M   22M   14G| 107M   88M|11.9k 1232 |0.30:20.8:51.4:40.5:20.8:59.0:21.5:21.2:42.5:54.6:21.0:43.8:54.7:21.5:20.5:43.6:20.6
03-01 15:07:44| 46  34  14   4   0|5111M  461M   19M   14G| 109M   86M|12.1k 1191 |0.10:21.6:50.7:39.0:21.7:53.7:20.9:20.7:41.7:49.8:21.2:42.0:54.7:21.0:20.0:42.3:20.1
03-01 15:07:45| 46  34  14   4   0|5125M  641M   19M   14G| 113M   86M|12.5k 1204 |0.30:21.1:54.9:41.5:21.1:53.8:21.8:21.5:43.9:52.6:21.2:44.1:58.0:21.1:21.6:47.8:21.7
03-01 15:07:46| 48  33  14   4   0|5187M  591M   19M   14G| 114M   86M|12.7k 1193 |   0:20.6:56.6:42.2:20.8:54.8:22.9:23.0:45.6:57.7:20.6:44.9:58.2:20.9:21.1:45.6:21.6
03-01 15:07:47| 47  33  13   5   0|5249M  527M   19M   14G| 119M   87M|13.0k 1220 |   0:20.8:56.2:44.4:20.8:55.6:21.3:21.1:46.3:57.3:21.7:45.1:57.8:21.7:22.2:45.2:22.1
03-01 15:07:48| 49  33  13   4   0|5309M  460M   18M   14G| 120M   87M|13.2k 1201 |0.10:22.4:57.8:45.2:22.5:58.7:21.4:21.2:47.4:58.5:21.5:48.4:58.4:21.9:22.1:47.9:22.0
03-01 15:07:49| 49  33  13   4   0|5356M  402M   17M   14G| 121M   89M|13.4k 1221 |   0:21.8:58.2:46.4:21.7:58.5:21.7:21.6:48.3:60.0:22.1:46.8:62.1:22.1:21.8:48.3:22.1
03-01 15:07:50| 48  35  11   4   0|5392M  504M   17M   14G| 120M   87M|13.3k 1266 |   0:21.6:61.2:46.6:21.5:58.1:22.1:22.2:47.5:58.3:22.0:47.6:61.9:21.8:20.8:50.6:20.7
03-01 15:07:51| 49  33  12   4   0|5427M  458M   17M   14G| 122M   84M|13.5k 1182 |   0:22.9:59.9:48.5:22.7:56.7:21.1:21.0:47.3:59.3:20.9:48.0:61.1:20.9:21.3:47.9:21.1
03-01 15:07:52| 49  35  11   5   0|5455M  412M   17M   14G| 124M   87M|13.7k 1283 |   0:21.5:59.4:47.6:21.3:60.7:21.7:21.7:47.6:61.7:21.9:51.1:63.6:22.0:22.1:51.0:22.5
03-01 15:07:53| 49  35  11   4   0|5481M  369M   17M   14G| 125M   84M|13.8k 1218 |   0:21.6:60.8:48.7:21.4:61.8:22.0:22.0:49.5:61.1:21.5:49.4:61.8:20.9:21.5:49.7:21.9
03-01 15:07:54| 48  34  12   5   0|5505M  329M   17M   14G| 126M   82M|13.9k 1231 |   0:21.9:60.1:47.1:21.5:60.7:20.3:20.5:49.0:60.9:21.9:50.6:60.4:21.7:21.1:48.7:21.0
03-01 15:07:55| 49  34  11   4   0|5526M  290M   17M   14G| 128M   90M|14.0k 2082 |   0:22.4:63.4:53.2:22.6:63.4:21.5:21.5:52.9:63.1:20.5:53.0:63.5:20.8:21.0:52.2:21.0
03-01 15:07:56| 50  35  10   4   0|5542M  253M   17M   14G| 132M   88M|14.3k 1971 |   0:22.2:62.4:50.4:22.0:61.0:20.4:20.4:47.8:62.5:20.5:50.2:63.2:20.1:21.0:51.8:21.0
03-01 15:07:57| 50  34  11   4   0|5556M  220M   17M   14G| 128M   91M|14.0k 2392 |   0:20.8:63.9:51.9:20.8:64.9:20.7:20.2:51.2:61.4:20.9:48.5:66.1:20.6:21.2:51.1:21.1
03-01 15:07:58| 49  35  10   5   0|5566M  336M   17M   14G| 130M   92M|14.3k 2421 |   0:21.2:64.8:53.0:21.4:63.6:21.8:21.5:54.2:64.0:21.6:52.6:63.0:21.5:21.6:51.7:21.3
03-01 15:07:59| 50  35   9   5   0|5578M  305M   17M   14G| 128M   94M|14.0k 2722 |   0:20.8:64.6:54.3:20.5:64.0:21.7:22.1:52.9:63.0:21.9:54.7:63.4:21.5:21.2:51.9:21.4
03-01 15:08:00| 50  33  10   4   0|5587M  278M   17M   14G| 128M   95M|14.1k 3243 |   0:20.1:65.5:52.6:20.5:64.9:21.6:21.7:52.1:64.6:21.2:52.5:65.5:21.0:21.1:54.7:20.8
03-01 15:08:01| 51  34   9   5   0|5596M  249M   17M   14G| 128M  105M|14.1k 4430 |   0:20.2:66.1:54.4:20.2:64.1:21.3:21.1:54.4:65.9:20.7:56.6:66.5:20.7:20.9:56.4:20.5
