Linux 6.14.0-1018-aws (ip-10-0-1-227) 	01/03/26 	_aarch64_	(8 CPU)

15:30:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:39     all    0.75    0.00    0.50    0.50    0.00    0.00    0.00    0.00    0.00   98.25
15:30:39       0    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:30:39       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:30:39       2    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
15:30:39       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:30:39       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
15:30:39       5    3.96    0.00    0.99    3.96    0.00    0.00    0.00    0.00    0.00   91.09
15:30:39       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:30:39       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

15:30:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:40     all    0.25    0.00    0.37    0.12    0.00    0.00    0.00    0.00    0.00   99.25
15:30:40       0    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
15:30:40       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:30:40       2    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
15:30:40       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:30:40       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:30:40       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:30:40       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:30:40       7    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01

15:30:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:41     all   46.83    0.00   38.07    3.05    0.00    0.76    0.00    0.00    0.00   11.29
15:30:41       0   47.47    0.00   36.36    3.03    0.00    1.01    0.00    0.00    0.00   12.12
15:30:41       1   42.86    0.00   42.86    3.06    0.00    0.00    0.00    0.00    0.00   11.22
15:30:41       2   47.47    0.00   37.37    4.04    0.00    1.01    0.00    0.00    0.00   10.10
15:30:41       3   47.96    0.00   36.73    2.04    0.00    1.02    0.00    0.00    0.00   12.24
15:30:41       4   47.47    0.00   38.38    3.03    0.00    1.01    0.00    0.00    0.00   10.10
15:30:41       5   48.98    0.00   37.76    2.04    0.00    1.02    0.00    0.00    0.00   10.20
15:30:41       6   47.00    0.00   37.00    4.00    0.00    0.00    0.00    0.00    0.00   12.00
15:30:41       7   45.36    0.00   38.14    3.09    0.00    1.03    0.00    0.00    0.00   12.37

15:30:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:42     all   50.51    0.00   38.07    3.55    0.00    0.63    0.00    0.00    0.00    7.23
15:30:42       0   51.52    0.00   35.35    3.03    0.00    2.02    0.00    0.00    0.00    8.08
15:30:42       1   49.00    0.00   38.00    4.00    0.00    1.00    0.00    0.00    0.00    8.00
15:30:42       2   51.04    0.00   38.54    3.12    0.00    1.04    0.00    0.00    0.00    6.25
15:30:42       3   49.49    0.00   39.39    4.04    0.00    0.00    0.00    0.00    0.00    7.07
15:30:42       4   50.51    0.00   39.39    3.03    0.00    0.00    0.00    0.00    0.00    7.07
15:30:42       5   51.02    0.00   37.76    4.08    0.00    0.00    0.00    0.00    0.00    7.14
15:30:42       6   50.51    0.00   38.38    3.03    0.00    1.01    0.00    0.00    0.00    7.07
15:30:42       7   51.02    0.00   37.76    4.08    0.00    0.00    0.00    0.00    0.00    7.14

15:30:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:43     all   51.27    0.00   37.47    3.42    0.00    0.63    0.00    0.00    0.00    7.22
15:30:43       0   51.52    0.00   37.37    4.04    0.00    0.00    0.00    0.00    0.00    7.07
15:30:43       1   51.02    0.00   38.78    3.06    0.00    0.00    0.00    0.00    0.00    7.14
15:30:43       2   50.51    0.00   38.38    4.04    0.00    0.00    0.00    0.00    0.00    7.07
15:30:43       3   48.51    0.00   37.62    3.96    0.00    1.98    0.00    0.00    0.00    7.92
15:30:43       4   51.52    0.00   37.37    3.03    0.00    1.01    0.00    0.00    0.00    7.07
15:30:43       5   52.58    0.00   37.11    3.09    0.00    0.00    0.00    0.00    0.00    7.22
15:30:43       6   53.06    0.00   35.71    3.06    0.00    1.02    0.00    0.00    0.00    7.14
15:30:43       7   51.52    0.00   37.37    3.03    0.00    1.01    0.00    0.00    0.00    7.07

15:30:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:44     all   50.95    0.00   37.29    3.67    0.00    0.76    0.00    0.00    0.00    7.33
15:30:44       0   50.00    0.00   37.76    4.08    0.00    1.02    0.00    0.00    0.00    7.14
15:30:44       1   48.48    0.00   39.39    4.04    0.00    1.01    0.00    0.00    0.00    7.07
15:30:44       2   51.00    0.00   37.00    3.00    0.00    1.00    0.00    0.00    0.00    8.00
15:30:44       3   52.04    0.00   37.76    4.08    0.00    0.00    0.00    0.00    0.00    6.12
15:30:44       4   51.00    0.00   37.00    3.00    0.00    1.00    0.00    0.00    0.00    8.00
15:30:44       5   51.00    0.00   36.00    4.00    0.00    1.00    0.00    0.00    0.00    8.00
15:30:44       6   53.06    0.00   35.71    4.08    0.00    0.00    0.00    0.00    0.00    7.14
15:30:44       7   51.02    0.00   37.76    3.06    0.00    1.02    0.00    0.00    0.00    7.14

15:30:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:45     all   51.07    0.00   37.20    3.78    0.00    0.88    0.00    0.00    0.00    7.06
15:30:45       0   54.08    0.00   34.69    3.06    0.00    1.02    0.00    0.00    0.00    7.14
15:30:45       1   49.49    0.00   39.39    4.04    0.00    1.01    0.00    0.00    0.00    6.06
15:30:45       2   51.52    0.00   37.37    3.03    0.00    1.01    0.00    0.00    0.00    7.07
15:30:45       3   51.02    0.00   37.76    3.06    0.00    1.02    0.00    0.00    0.00    7.14
15:30:45       4   49.00    0.00   38.00    5.00    0.00    1.00    0.00    0.00    0.00    7.00
15:30:45       5   51.00    0.00   37.00    4.00    0.00    1.00    0.00    0.00    0.00    7.00
15:30:45       6   51.00    0.00   37.00    4.00    0.00    1.00    0.00    0.00    0.00    7.00
15:30:45       7   51.52    0.00   36.36    4.04    0.00    0.00    0.00    0.00    0.00    8.08

15:30:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:46     all   51.52    0.00   38.23    3.54    0.00    1.01    0.00    0.00    0.00    5.70
15:30:46       0   49.00    0.00   39.00    5.00    0.00    2.00    0.00    0.00    0.00    5.00
15:30:46       1   54.08    0.00   35.71    4.08    0.00    1.02    0.00    0.00    0.00    5.10
15:30:46       2   50.52    0.00   41.24    3.09    0.00    0.00    0.00    0.00    0.00    5.15
15:30:46       3   50.98    0.00   37.25    3.92    0.00    0.98    0.00    0.00    0.00    6.86
15:30:46       4   46.94    0.00   42.86    3.06    0.00    1.02    0.00    0.00    0.00    6.12
15:30:46       5   53.06    0.00   37.76    3.06    0.00    1.02    0.00    0.00    0.00    5.10
15:30:46       6   56.12    0.00   33.67    3.06    0.00    1.02    0.00    0.00    0.00    6.12
15:30:46       7   51.52    0.00   38.38    3.03    0.00    1.01    0.00    0.00    0.00    6.06

15:30:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:47     all   51.65    0.00   37.97    3.54    0.00    0.89    0.00    0.00    0.00    5.95
15:30:47       0   50.51    0.00   39.39    3.03    0.00    1.01    0.00    0.00    0.00    6.06
15:30:47       1   52.53    0.00   37.37    3.03    0.00    1.01    0.00    0.00    0.00    6.06
15:30:47       2   51.00    0.00   38.00    4.00    0.00    1.00    0.00    0.00    0.00    6.00
15:30:47       3   53.06    0.00   37.76    3.06    0.00    1.02    0.00    0.00    0.00    5.10
15:30:47       4   50.52    0.00   39.18    4.12    0.00    0.00    0.00    0.00    0.00    6.19
15:30:47       5   52.53    0.00   37.37    3.03    0.00    1.01    0.00    0.00    0.00    6.06
15:30:47       6   52.53    0.00   36.36    4.04    0.00    1.01    0.00    0.00    0.00    6.06
15:30:47       7   50.51    0.00   38.38    4.04    0.00    1.01    0.00    0.00    0.00    6.06

15:30:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:48     all   51.71    0.00   38.02    3.55    0.00    0.63    0.00    0.00    0.00    6.08
15:30:48       0   51.02    0.00   38.78    3.06    0.00    1.02    0.00    0.00    0.00    6.12
15:30:48       1   51.52    0.00   37.37    4.04    0.00    1.01    0.00    0.00    0.00    6.06
15:30:48       2   52.00    0.00   39.00    3.00    0.00    0.00    0.00    0.00    0.00    6.00
15:30:48       3   52.04    0.00   38.78    3.06    0.00    0.00    0.00    0.00    0.00    6.12
15:30:48       4   50.51    0.00   38.38    4.04    0.00    1.01    0.00    0.00    0.00    6.06
15:30:48       5   52.04    0.00   37.76    4.08    0.00    0.00    0.00    0.00    0.00    6.12
15:30:48       6   52.53    0.00   36.36    4.04    0.00    1.01    0.00    0.00    0.00    6.06
15:30:48       7   52.04    0.00   37.76    3.06    0.00    1.02    0.00    0.00    0.00    6.12

15:30:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:49     all   51.02    0.00   39.19    5.22    0.00    1.02    0.00    0.00    0.00    3.56
15:30:49       0   45.83    0.00   39.58    8.33    0.00    1.04    0.00    0.00    0.00    5.21
15:30:49       1   49.48    0.00   34.02    8.25    0.00    1.03    0.00    0.00    0.00    7.22
15:30:49       2   48.45    0.00   36.08    8.25    0.00    1.03    0.00    0.00    0.00    6.19
15:30:49       3   47.52    0.00   37.62    8.91    0.00    1.98    0.00    0.00    0.00    3.96
15:30:49       4   55.00    0.00   40.00    2.00    0.00    1.00    0.00    0.00    0.00    2.00
15:30:49       5   55.10    0.00   40.82    2.04    0.00    1.02    0.00    0.00    0.00    1.02
15:30:49       6   54.08    0.00   42.86    1.02    0.00    0.00    0.00    0.00    0.00    2.04
15:30:49       7   52.53    0.00   42.42    3.03    0.00    1.01    0.00    0.00    0.00    1.01

15:30:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:50     all   47.63    0.00   37.48   11.17    0.00    0.77    0.00    0.00    0.00    2.95
15:30:50       0   44.33    0.00   39.18   11.34    0.00    1.03    0.00    0.00    0.00    4.12
15:30:50       1   47.42    0.00   35.05   12.37    0.00    1.03    0.00    0.00    0.00    4.12
15:30:50       2   45.92    0.00   35.71   13.27    0.00    1.02    0.00    0.00    0.00    4.08
15:30:50       3   47.37    0.00   37.89   11.58    0.00    0.00    0.00    0.00    0.00    3.16
15:30:50       4   51.04    0.00   37.50   10.42    0.00    0.00    0.00    0.00    0.00    1.04
15:30:50       5   49.00    0.00   37.00   10.00    0.00    1.00    0.00    0.00    0.00    3.00
15:30:50       6   48.00    0.00   37.00   11.00    0.00    2.00    0.00    0.00    0.00    2.00
15:30:50       7   47.92    0.00   40.62    9.38    0.00    0.00    0.00    0.00    0.00    2.08

15:30:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:30:51     all   35.78    0.00   32.50   28.18    0.00    0.79    0.00    0.00    0.00    2.75
15:30:51       0   35.11    0.00   30.85   30.85    0.00    1.06    0.00    0.00    0.00    2.13
15:30:51       1   31.25    0.00   35.42   29.17    0.00    1.04    0.00    0.00    0.00    3.12
15:30:51       2   30.53    0.00   34.74   30.53    0.00    1.05    0.00    0.00    0.00    3.16
15:30:51       3   35.42    0.00   28.12   31.25    0.00    1.04    0.00    0.00    0.00    4.17
15:30:51       4   38.78    0.00   33.67   24.49    0.00    1.02    0.00    0.00    0.00    2.04
15:30:51       5   38.71    0.00   31.18   26.88    0.00    0.00    0.00    0.00    0.00    3.23
15:30:51       6   38.95    0.00   32.63   26.32    0.00    0.00    0.00    0.00    0.00    2.11
