Linux 6.14.0-1018-aws (ip-10-0-1-227) 	01/03/26 	_aarch64_	(8 CPU)

13:01:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:01:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:19       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:19       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:19       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:19       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:19       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:19       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:19       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:19       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

13:01:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:01:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:20       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:20       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:20       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:20       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:20       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:20       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:20       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:01:20       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

13:01:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:01:21     all    2.27    0.00    2.64    0.00    0.00    0.25    0.00    0.00    0.00   94.84
13:01:21       0    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
13:01:21       1    1.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
13:01:21       2    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:01:21       3    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
13:01:21       4    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
13:01:21       5   14.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   81.00
13:01:21       6    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
13:01:21       7    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96

13:01:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:01:22     all    0.51    0.00    3.03    0.00    0.00    0.25    0.00    0.00    0.00   96.21
13:01:22       0    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:01:22       1    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
13:01:22       2    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
13:01:22       3    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:01:22       4    1.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
13:01:22       5    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
13:01:22       6    0.00    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   96.91
13:01:22       7    0.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00

13:01:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:01:23     all    0.25    0.00    3.04    0.00    0.00    0.13    0.00    0.00    0.00   96.58
13:01:23       0    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:01:23       1    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
13:01:23       2    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
13:01:23       3    0.00    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   96.97
13:01:23       4    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:01:23       5    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
13:01:23       6    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
