Time,HitRatio,TPS,Active,WaitLock,Deadlock,WalBytes
12:45:23,99.25,6,1,0,0,7860402271
12:45:28,99.86,16,73,16,0,7917099165
12:45:33,99.93,28,41,8,0,8006732253
12:45:38,95.63,94,69,12,0,8070917158
12:45:43,93.25,6846,122,21,0,8132156965
12:45:48,92.94,15561,130,19,0,8184429985
12:45:54,93.03,25186,75,16,0,8236124571
12:45:59,93.19,34651,165,27,0,8283595364
12:46:04,93.34,43653,120,20,0,8327102403
12:46:10,93.51,52664,161,22,0,8369414217
12:46:15,93.67,62155,139,16,0,8409699018
12:46:20,93.83,71332,76,23,0,8447403688
