Linux 6.14.0-1018-aws (ip-10-0-1-227) 	01/03/26 	_aarch64_	(8 CPU)

12:57:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:09       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:09       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:09       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:09       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:09       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:09       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:09       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:09       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:57:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:10       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:10       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:10       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:10       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:10       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:10       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:10       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:10       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:57:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:11     all    4.17    0.00    5.56   10.61    0.00    0.00    0.00    0.00    0.00   79.67
12:57:11       0    0.00    0.00    5.05   27.27    0.00    0.00    0.00    0.00    0.00   67.68
12:57:11       1    8.08    0.00   16.16    3.03    0.00    0.00    0.00    0.00    0.00   72.73
12:57:11       2   11.34    0.00   18.56   30.93    0.00    0.00    0.00    0.00    0.00   39.18
12:57:11       3    0.00    0.00    3.09   19.59    0.00    0.00    0.00    0.00    0.00   77.32
12:57:11       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:11       5   13.86    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   85.15
12:57:11       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:11       7    0.00    0.00    1.00    5.00    0.00    0.00    0.00    0.00    0.00   94.00

12:57:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:12     all    0.63    0.00    3.15   21.28    0.00    0.00    0.00    0.00    0.00   74.94
12:57:12       0    0.00    0.00    4.08   48.98    0.00    0.00    0.00    0.00    0.00   46.94
12:57:12       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:57:12       2    5.15    0.00   13.40   81.44    0.00    0.00    0.00    0.00    0.00    0.00
12:57:12       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:12       4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:57:12       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:12       6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:57:12       7    0.00    0.00    5.05   42.42    0.00    0.00    0.00    0.00    0.00   52.53

12:57:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:13     all    0.38    0.00    1.63   23.12    0.00    0.13    0.00    0.00    0.00   74.75
12:57:13       0    0.00    0.00    3.03   44.44    0.00    0.00    0.00    0.00    0.00   52.53
12:57:13       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:13       2    3.06    0.00    7.14   89.80    0.00    0.00    0.00    0.00    0.00    0.00
12:57:13       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:13       4    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
12:57:13       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:13       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:13       7    0.00    0.00    2.97   49.50    0.00    0.99    0.00    0.00    0.00   46.53

12:57:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:14     all    0.51    0.00    2.02   22.22    0.00    0.00    0.00    0.00    0.00   75.25
12:57:14       0    0.00    0.00    3.03   41.41    0.00    0.00    0.00    0.00    0.00   55.56
12:57:14       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:14       2    4.12    0.00    9.28   86.60    0.00    0.00    0.00    0.00    0.00    0.00
12:57:14       3    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:57:14       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:14       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:14       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:14       7    0.00    0.00    3.09   52.58    0.00    0.00    0.00    0.00    0.00   44.33

12:57:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:15     all    0.63    0.00    2.39   21.79    0.00    0.00    0.00    0.00    0.00   75.19
12:57:15       0    0.00    0.00    4.04   49.49    0.00    0.00    0.00    0.00    0.00   46.46
12:57:15       1    0.00    0.00    2.00   23.00    0.00    0.00    0.00    0.00    0.00   75.00
12:57:15       2    0.00    0.00    3.00   20.00    0.00    0.00    0.00    0.00    0.00   77.00
12:57:15       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:15       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:15       5    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
12:57:15       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:15       7    5.21    0.00   10.42   83.33    0.00    0.00    0.00    0.00    0.00    1.04

12:57:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:16     all    0.50    0.00    2.14   22.29    0.00    0.00    0.00    0.00    0.00   75.06
12:57:16       0    0.00    0.00    3.06   42.86    0.00    0.00    0.00    0.00    0.00   54.08
12:57:16       1    0.00    0.00    2.02   32.32    0.00    0.00    0.00    0.00    0.00   65.66
12:57:16       2    0.00    0.00    2.00   19.00    0.00    0.00    0.00    0.00    0.00   79.00
12:57:16       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:16       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:16       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:16       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:16       7    4.08    0.00   10.20   85.71    0.00    0.00    0.00    0.00    0.00    0.00

12:57:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:17     all    0.38    0.00    1.78   22.36    0.00    0.00    0.00    0.00    0.00   75.48
12:57:17       0    0.00    0.00    3.03   43.43    0.00    0.00    0.00    0.00    0.00   53.54
12:57:17       1    0.00    0.00    3.06   34.69    0.00    0.00    0.00    0.00    0.00   62.24
12:57:17       2    0.00    0.00    1.02   15.31    0.00    0.00    0.00    0.00    0.00   83.67
12:57:17       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:17       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:17       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:17       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:57:17       7    3.19    0.00    7.45   89.36    0.00    0.00    0.00    0.00    0.00    0.00

