Linux 6.14.0-1018-aws (ip-10-0-1-227) 	01/03/26 	_aarch64_	(8 CPU)

12:58:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:35       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:35       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:35       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:35       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:35       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:35       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:35       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:35       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:58:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:36       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:36       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:36       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:36       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:36       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:36       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:36       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:36       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:58:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:37     all    3.93    0.00    1.65   15.46    0.00    0.13    0.00    0.00    0.00   78.83
12:58:37       0   13.13    0.00    7.07   23.23    0.00    0.00    0.00    0.00    0.00   56.57
12:58:37       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:37       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:37       3   15.31    0.00    4.08   66.33    0.00    1.02    0.00    0.00    0.00   13.27
12:58:37       4    3.09    0.00    2.06   35.05    0.00    0.00    0.00    0.00    0.00   59.79
12:58:37       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:37       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:37       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:58:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:38     all    0.25    0.00    0.63   23.71    0.00    0.00    0.00    0.00    0.00   75.41
12:58:38       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:38       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:38       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:38       3    2.08    0.00    1.04   96.88    0.00    0.00    0.00    0.00    0.00    0.00
12:58:38       4    0.00    0.00    2.04   81.63    0.00    0.00    0.00    0.00    0.00   16.33
12:58:38       5    0.00    0.00    1.01   15.15    0.00    0.00    0.00    0.00    0.00   83.84
12:58:38       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:38       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

12:58:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:39     all    0.00    0.00    0.38   24.21    0.00    0.13    0.00    0.00    0.00   75.28
12:58:39       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:39       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:39       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:39       3    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
12:58:39       4    0.00    0.00    2.02   84.85    0.00    1.01    0.00    0.00    0.00   12.12
12:58:39       5    0.00    0.00    0.00   12.12    0.00    0.00    0.00    0.00    0.00   87.88
12:58:39       6    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:58:39       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:58:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:40     all    0.50    0.00    0.75   23.78    0.00    0.13    0.00    0.00    0.00   74.84
12:58:40       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:40       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:40       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:40       3    4.08    0.00    1.02   94.90    0.00    0.00    0.00    0.00    0.00    0.00
12:58:40       4    0.00    0.00    1.00   29.00    0.00    0.00    0.00    0.00    0.00   70.00
12:58:40       5    0.00    0.00    2.94   66.67    0.00    0.98    0.00    0.00    0.00   29.41
12:58:40       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:40       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

12:58:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:41     all    0.88    0.00    0.51   23.14    0.00    0.00    0.00    0.00    0.00   75.47
12:58:41       0    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:58:41       1    0.00    0.00    1.03   77.32    0.00    0.00    0.00    0.00    0.00   21.65
12:58:41       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:41       3    4.08    0.00    1.02   18.37    0.00    0.00    0.00    0.00    0.00   76.53
12:58:41       4    3.09    0.00    1.03   72.16    0.00    0.00    0.00    0.00    0.00   23.71
12:58:41       5    0.00    0.00    0.00   20.20    0.00    0.00    0.00    0.00    0.00   79.80
12:58:41       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:41       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

