----system---- ----total-usage---- ------memory-usage----- -dsk/total- --io/total- nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ| read  writ|util:util:util:util:util:util:util:util:util:util:util:util:util:util:util:util:util
03-01 15:40:31|                   |4722M  428M   25M   14G|           |           |    :    :    :    :    :    :    :    :    :    :    :    :    :    :    :    :    
03-01 15:40:32|  0   0  99   0   0|4723M  427M   25M   14G|   0    67M|   0  3999 |1.70:   0:7.60:7.40:   0:7.80:   0:   0:7.80:8.10:   0:7.90:8.40:   0:   0:8.40:   0
03-01 15:40:33|  1   2  97   0   0|4827M  323M   25M   14G| 712k   66M|26.0  3820 |0.50:0.20:8.20:7.90:0.20:8.99:0.20:0.20:8.59:8.59:0.20:8.39:8.59:0.20:0.30:8.30:0.30
03-01 15:40:34| 51  40   4   5   0|4872M  230M   24M   14G| 185M  101M|23.1k 4773 |0.30:17.1:79.8:71.4:16.6:77.5:16.3:16.4:68.6:78.6:16.5:71.3:78.4:16.3:16.3:71.4:16.2
03-01 15:40:35| 51  39   4   5   0|4930M  280M   24M   14G| 181M  100M|22.2k 4786 |   0:16.6:77.7:72.4:16.6:77.7:16.9:16.8:68.2:79.6:16.3:73.6:79.3:16.1:17.7:72.2:18.0
03-01 15:40:36| 52  38   4   5   0|4984M  328M   24M   14G| 186M  101M|22.3k 4932 |0.10:17.5:80.4:70.7:17.4:79.0:16.8:16.9:69.1:81.1:16.8:72.8:81.8:17.2:15.7:70.5:15.9
03-01 15:40:37| 52  39   3   5   0|5037M  223M   24M   14G| 189M  103M|22.2k 4919 |0.60:16.5:81.0:70.7:16.8:80.3:17.4:17.5:70.2:80.5:18.0:72.7:80.5:17.9:16.9:71.3:16.9
03-01 15:40:38| 53  40   2   4   0|5153M  369M   24M   14G| 188M  394M|21.9k 22.7k|   0:18.1:93.6:90.0:18.2:93.2:15.8:15.8:88.8:94.3:17.3:90.1:93.1:17.2:17.6:88.5:17.8
03-01 15:40:39| 49  38   0  11   0|5129M  497M   24M   14G| 178M  124M|20.5k 6206 |0.50:20.2:89.9:83.4:20.0: 100:19.9:19.7:99.9:90.1:18.7:83.2:87.5:18.9:19.9:80.4:19.7
03-01 15:40:40| 47  37   0  13   0|5173M  262M   24M   14G| 177M  146M|20.1k 6790 |0.40:19.0:95.4:91.3:18.8: 100:20.2:20.6: 100:89.0:20.9:81.2:86.8:21.0:19.9:77.1:19.8
03-01 15:40:41| 45  34   7  12   0|5211M  349M   24M   14G| 161M  193M|18.3k 7616 |0.30:17.3:85.0:78.1:17.4: 100:17.8:18.3: 100:88.0:17.2:81.0:87.4:17.5:17.8:81.7:18.2
03-01 15:40:42| 41  34   9  12   0|5242M  392M   24M   14G| 155M  518M|17.5k 19.6k|   0:17.1:91.8:88.1:17.5:99.9:16.2:16.1:99.8:92.3:15.6:86.6:93.3:15.3:16.8:88.6:17.0
03-01 15:40:43| 48  38   0  11   0|5288M  450M   24M   14G| 177M  177M|19.8k 7513 |0.40:19.3:90.9:84.2:19.2: 100:19.0:19.2: 100:90.8:20.7:84.3:89.6:20.8:18.2:82.0:18.4
03-01 15:40:44| 38  32  15  13   0|5333M  545M   24M   14G| 141M  441M|15.7k 18.0k|   0:15.6:91.7:87.3:15.5: 100:14.4:14.5: 100:92.6:14.3:88.8:89.2:14.1:14.6:85.6:14.9
03-01 15:40:45| 44  33  10  12   0|5368M  489M   24M   14G| 153M  341M|17.1k 13.9k|0.50:17.8:90.6:86.1:17.4: 100:16.1:16.2:99.7:91.3:16.7:85.7:90.5:16.3:15.9:85.3:15.8
03-01 15:40:46| 42  33  10  13   0|5364M  483M   24M   14G| 144M  567M|16.1k 23.8k|0.20:17.4:92.4:87.4:17.4:99.9:15.3:15.7:99.7:91.5:16.5:87.7:93.1:16.6:16.0:87.1:16.2
03-01 15:40:47| 50  36   0  11   0|5398M  266M   24M   14G| 168M  210M|18.9k 8936 |0.30:20.2:91.4:84.4:20.0: 100:19.1:19.3: 100:90.5:19.1:83.6:91.0:19.3:17.5:83.4:17.6
03-01 15:40:48| 49  38   0  11   0|5427M  497M   24M   14G| 165M  226M|18.5k 10.1k|0.20:17.6:91.8:85.2:17.5: 100:19.5:19.4: 100:88.2:18.0:82.1:88.1:18.3:19.0:81.2:19.0
03-01 15:40:49| 40  31  15  13   0|5450M  477M   24M   14G| 130M  511M|14.6k 21.7k|0.10:15.1:91.7:87.8:15.2: 100:14.3:14.1: 100:92.4:14.8:88.1:92.2:14.8:15.3:86.7:15.5
03-01 15:40:50| 49  37   1  11   0|5482M  274M   24M   14G| 157M  235M|17.8k 10.6k|0.50:18.6:90.0:82.5:18.9:99.9:19.4:19.5:99.9:89.3:19.1:83.5:88.4:18.9:18.9:81.5:18.8
03-01 15:40:51| 49  37   1  11   0|5509M  510M   24M   13G| 157M  234M|17.7k 10.5k|0.30:20.2:92.1:85.5:20.2: 100:19.2:19.5: 100:89.8:17.9:85.1:89.7:18.0:18.0:84.5:18.2
